01路,上海西站,"121.403475,31.262046"
﻿01路,曹杨路芝川路,"121.404154,31.26056"
﻿01路,曹杨路铜川路,"121.406007,31.254835"
﻿01路,铜川路曹杨路,"121.409696,31.251398"
﻿01路,武宁新村,"121.421992,31.239518"
﻿01路,曹杨路谈家渡路,"121.421437,31.23355"
﻿01路,江苏路愚园路,"121.429443,31.22266"
﻿01路,江苏路延安西路,"121.432098,31.21644"
﻿01路,延安西路镇宁路,"121.438972,31.218065"
﻿01路,延安西路华山路,"121.444244,31.22036"
﻿01路,延安中路陕西北路,"121.454922,31.223668"
﻿01路,延安中路石门一路,"121.4664,31.223516"
﻿01路,延安东路浙江中路,"121.480512,31.229592"
﻿01路,世纪大道浦东南路,"121.510971,31.234577"
﻿01路,浦东南路潍坊路,"121.518194,31.221732"
﻿01路,浦东南路浦电路,"121.518824,31.219345"
﻿01路,浦东南路宁阳路,"121.518273,31.212335"
﻿01路,蓝村路南泉路,"121.523863,31.211884"
04路,汶水路共和新路,"121.447141,31.293056"
04路,汶水路万荣路,"121.442413,31.291337"
04路,江场三路汶水路,"121.437391,31.293594"
04路,江场三路江场西路,"121.437309,31.295738"
04路,江场西路万荣路,"121.442101,31.29775"
04路,江场西路共和新路,"121.447109,31.298168"
04路,共和新路闻喜路,"121.448876,31.306615"
04路,闻喜路平顺路,"121.451195,31.308161"
04路,闻喜路岭南路,"121.454048,31.308365"
04路,临汾路安业路,"121.458008,31.310803"
04路,阳曲路临汾路,"121.459961,31.311515"
04路,阳曲路保德路,"121.459961,31.316607"
04路,景凤路阳曲路,"121.460378,31.320178"
04路,景凤路阳泉路,"121.46402,31.32041"
04路,共康东路阳泉路,"121.464409,31.323498"
04路,共康东路阳曲路,"121.458845,31.323064"
04路,岭南路共康东路,"121.45569,31.321988"
04路,岭南路景凤路,"121.455885,31.317839"
04路,汾西路岭南路,"121.45375,31.313485"
04路,汾西路共和新路,"121.450369,31.313468"
04路,共和新路汾西路,"121.448407,31.312609"
04路,共和新路闻喜路,"121.448542,31.309015"
04路,共和新路江场路,"121.449173,31.296284"
04路,汶水路共和新路,"121.446932,31.29298"
6路,长白路图们路,"121.545391,31.289379"
6路,图们路控江路,"121.548405,31.29017"
6路,控江路敦化路,"121.544688,31.287443"
6路,控江路隆昌路,"121.537926,31.283516"
6路,控江路双阳路,"121.531403,31.280382"
6路,控江路黄兴路,"121.528557,31.278936"
6路,控江路凤城路,"121.523109,31.276207"
6路,新华医院,"121.517355,31.27475"
6路,控江路本溪路,"121.511285,31.273442"
6路,大连路飞虹路,"121.506445,31.265595"
6路,周家嘴路保定路,"121.506905,31.262196"
6路,周家嘴路公平路,"121.502704,31.259028"
6路,周家嘴路新建路,"121.495924,31.254379"
6路,海宁路吴淞路,"121.487514,31.251361"
6路,海宁路四川北路,"121.48381,31.249088"
6路,武进路河南北路,"121.479973,31.250092"
8路,松潘路杨树浦路,"121.541466,31.259836"
8路,宁国路平凉路,"121.537971,31.263042"
8路,宁国路河间路,"121.534718,31.267496"
8路,黄兴路长阳路,"121.532053,31.271367"
8路,黄兴路控江路,"121.524735,31.280082"
8路,控江新村,"121.523407,31.283238"
8路,黄兴路国权路,"121.521007,31.288403"
8路,黄兴路国顺路,"121.519323,31.292431"
8路,国定东路翔殷路,"121.520294,31.297459"
8路,国和路政立路,"121.519319,31.307487"
8路,政立路市光路,"121.51599,31.308003"
8路,三门路市光路,"121.51487,31.311523"
11路,宣夏路宣兰路枢纽站,"121.721645,31.087092"
11路,宣夏路宣竹路,"121.71763,31.086606"
11路,宣春路南六公路,"121.712305,31.08263"
11路,南六公路五丰路(五星村),"121.712153,31.07533"
11路,下盐路南六公路,"121.712062,31.068911"
11路,下盐路三灶村,"121.707899,31.068759"
11路,下盐路腰路村13组,"121.697287,31.068325"
11路,六奉公路下盐路,"121.690231,31.066797"
11路,六奉公路南季路(季桥村),"121.691757,31.057911"
11路,六奉公路航三路,"121.692522,31.053451"
11路,航三路六奉公路,"121.694466,31.050192"
11路,野生动物园地铁站,"121.699831,31.05013"
11路,航三路施桥,"121.70784,31.049883"
11路,人民西路南六公路,"121.71678,31.049501"
11路,人民西路一灶港桥,"121.723724,31.049322"
11路,大川公路人民西路,"121.735477,31.049757"
11路,大川公路拱极路,"121.735397,31.053387"
11路,大川公路拱乐路,"121.735308,31.059891"
13路,海门路周家嘴路,"121.502981,31.256809"
13路,周家嘴路新建路,"121.496016,31.254449"
13路,海宁路吴淞路,"121.487231,31.251207"
13路,海宁路四川北路,"121.483826,31.249102"
13路,天目东路浙江北路,"121.475016,31.249077"
13路,天目中路晋元路,"121.46803,31.245082"
13路,天目中路大统路,"121.459332,31.246042"
13路,天目西路恒丰路,"121.452396,31.245768"
13路,长寿路西康路,"121.440727,31.242943"
13路,长寿路常德路,"121.43631,31.239172"
13路,长寿路叶家宅路,"121.431335,31.236052"
13路,曹家渡(长寿路),"121.427681,31.230639"
13路,曹家渡(长宁路),"121.427504,31.228611"
13路,长宁路江苏路,"121.426997,31.223451"
13路,中山公园(长宁路),"121.418893,31.218715"
13路,中山公园地铁站,"121.416515,31.219861"
14路,江浦路中山北二路,"121.516406,31.282105"
14路,抚顺路长岭路,"121.51862,31.281888"
14路,江浦路延吉西路,"121.51694,31.279991"
14路,本溪路铁岭路,"121.514032,31.275668"
14路,控江路本溪路,"121.511272,31.273442"
14路,打虎山路控江路,"121.509415,31.271507"
14路,辽源西路大连路,"121.507157,31.268533"
14路,和平公园,"121.502591,31.268841"
14路,新港路四平路,"121.497917,31.270017"
14路,四平路曲阳路,"121.495239,31.269401"
14路,四平路临平北路,"121.491706,31.266159"
14路,四平路溧阳路,"121.48865,31.259388"
14路,武进路吴淞路,"121.487114,31.252817"
14路,武进路河南北路,"121.480521,31.250304"
14路,河南北路海宁路,"121.481545,31.24697"
14路,天潼路河南北路,"121.479796,31.243529"
14路,浙江北路天潼路,"121.476328,31.242704"
14路,浙江中路北京东路,"121.476623,31.239197"
14路,湖北路南京东路,"121.479813,31.234609"
14路,东新桥,"121.481931,31.232296"
15路,浙江北路天目东路,"121.47457,31.247461"
15路,西藏北路蒙古路,"121.471176,31.243707"
15路,长沙路北京西路,"121.471576,31.237444"
15路,北京西路成都北路,"121.468819,31.235685"
15路,北京西路泰兴路,"121.459674,31.23207"
15路,北京西路陕西北路,"121.452083,31.229345"
15路,北京西路常德路,"121.448425,31.227814"
15路,静安寺,"121.444848,31.223112"
15路,常熟路华山路,"121.447344,31.217574"
15路,常熟路淮海中路,"121.448711,31.214583"
15路,衡山路复兴中路,"121.449692,31.209019"
15路,衡山路高安路,"121.444931,31.202513"
15路,衡山路宛平路,"121.441879,31.198534"
15路,天钥桥路辛耕路(徐家汇),"121.44165,31.192587"
15路,天钥桥路南丹东路,"121.441966,31.188694"
15路,上海体育场,"121.441827,31.184931"
17路,唐山路通北路,"121.513898,31.264392"
17路,周家嘴路大连路,"121.510213,31.263281"
17路,周家嘴路保定路,"121.506931,31.262144"
17路,周家嘴路公平路,"121.502665,31.259089"
17路,周家嘴路新建路,"121.495911,31.254366"
17路,海宁路吴淞路,"121.487422,31.251311"
17路,海宁路四川北路,"121.483742,31.249027"
17路,河南北路天潼路,"121.482196,31.244358"
17路,河南中路南京东路,"121.485569,31.235052"
17路,河南中路延安东路,"121.486267,31.232318"
17路,西藏南路淮海东路,"121.480725,31.224492"
17路,自忠路东台路,"121.480569,31.220204"
17路,济南路复兴中路,"121.479492,31.218342"
17路,复兴中路黄陂南路,"121.476997,31.217045"
17路,复兴中路重庆南路,"121.471667,31.215499"
17路,复兴中路瑞金二路,"121.463945,31.214601"
17路,陕西南路建国西路,"121.462083,31.205862"
17路,肇嘉浜路大木桥路,"121.46316,31.203173"
17路,打浦桥,"121.46885,31.205217"
17路,打浦路斜土路,"121.4703,31.20399"
17路,打浦路瞿溪路,"121.471675,31.19954"
17路,龙华东路富润路,"121.475136,31.194139"
17路,卢浦大桥,"121.479229,31.19374"
18路,南浦大桥(沪军营路),"121.497973,31.206354"
18路,西藏南路龙华东路,"121.491133,31.199284"
18路,中山南一路西藏南路,"121.489082,31.201353"
18路,市九医院,"121.484609,31.204158"
18路,制造局路斜土路,"121.484301,31.207847"
18路,斜桥,"121.481424,31.212852"
18路,老西门(肇周路),"121.482899,31.217118"
18路,西藏南路淮海东路,"121.480916,31.224462"
18路,人民广场(福州路),"121.475794,31.232556"
18路,西藏中路北京东路,"121.473891,31.23658"
18路,西藏北路海宁路,"121.471406,31.243711"
18路,天目东路山西北路,"121.476988,31.249631"
18路,宝山路鸿兴路,"121.477231,31.25651"
18路,东江湾路同心路,"121.48013,31.267101"
18路,鲁迅公园,"121.482374,31.267661"
19路,普陀路江宁路,"121.441422,31.245096"
19路,江宁路安远路,"121.444977,31.242453"
19路,江宁路海防路,"121.448944,31.238285"
19路,江宁路康定路,"121.450729,31.236285"
19路,康定路泰兴路,"121.455074,31.236858"
19路,新闸路石门二路,"121.45918,31.234527"
19路,新闸路成都北路,"121.463264,31.238003"
19路,新闸路地铁站,"121.468178,31.238979"
19路,长沙路北京西路,"121.471493,31.237591"
19路,北京东路福建中路,"121.478533,31.238915"
19路,北京东路山东北路,"121.481957,31.240017"
19路,天潼路河南北路,"121.482977,31.243919"
19路,天潼路四川北路,"121.48622,31.24523"
19路,吴淞路闵行路,"121.489683,31.24629"
19路,东汉阳路梧州路,"121.494805,31.251037"
19路,唐山路新建路,"121.496944,31.25171"
19路,唐山路高阳路,"121.502188,31.25342"
19路,唐山路公平路,"121.505905,31.255325"
19路,唐山路安国路,"121.50737,31.25754"
19路,保定路周家嘴路,"121.507552,31.260686"
19路,周家嘴路荆州路,"121.511894,31.263725"
19路,唐山路通北路,"121.513893,31.264392"
20路,中山公园(万航渡路),"121.418794,31.223582"
20路,华阳路长宁路,"121.423151,31.222557"
20路,愚园路安西路,"121.426541,31.218837"
20路,愚园路江苏路,"121.432465,31.219896"
20路,愚园路镇宁路,"121.436783,31.221037"
20路,愚园路乌鲁木齐北路,"121.441159,31.222773"
20路,静安寺,"121.445881,31.222934"
20路,南京西路陕西北路,"121.453676,31.227027"
20路,上海电视台,"121.463238,31.230985"
20路,南京西路成都北路,"121.466081,31.230855"
20路,南京西路黄河路,"121.471697,31.233108"
20路,九江路浙江中路,"121.478151,31.23444"
20路,汉口路四川中路,"121.487834,31.236454"
21路,愚园路胶州路,"121.445707,31.225304"
21路,北京西路常德路,"121.448008,31.227569"
21路,北京西路陕西北路,"121.452391,31.229332"
21路,北京西路泰兴路,"121.456892,31.23082"
21路,北京西路成都北路,"121.467652,31.235135"
21路,北京西路西藏中路,"121.470872,31.236419"
21路,北京东路福建中路,"121.478442,31.238893"
21路,四川中路香港路,"121.486211,31.242248"
21路,四川北路武昌路,"121.485438,31.246276"
21路,四川北路虬江路,"121.483641,31.254379"
21路,四川北路横浜桥,"121.483455,31.259896"
21路,甜爱路四川北路,"121.483615,31.265998"
21路,鲁迅公园,"121.48303,31.26829"
21路,虹口足球场,"121.479418,31.272192"
21路,中山北一路广中路,"121.47928,31.277361"
21路,广中路水电路,"121.472174,31.278941"
21路,凉城路广灵二路,"121.469683,31.282552"
21路,广灵四路广粤路,"121.467839,31.286615"
21路,广粤路汶水东路,"121.466888,31.29112"
21路,广粤路车站北路,"121.467331,31.296133"
21路,广粤路丰镇路,"121.467705,31.303143"
22路,闵行路长治路,"121.492134,31.246084"
22路,东大名路旅顺路,"121.498659,31.248472"
22路,东大名路海门路,"121.507866,31.251888"
22路,霍山路舟山路,"121.511137,31.254062"
22路,长阳路大连路,"121.511341,31.256319"
22路,长阳路辽阳路,"121.515247,31.259818"
22路,长阳路许昌路,"121.520764,31.263181"
22路,长阳路江浦路,"121.522758,31.26405"
22路,长阳路兰州路,"121.526344,31.265711"
22路,长阳路眉州路,"121.530924,31.267856"
22路,长阳路黄兴路,"121.53401,31.269314"
22路,长阳路临青路,"121.537053,31.270816"
22路,长阳路宁武路,"121.540864,31.272452"
22路,长阳路内江路,"121.547165,31.276932"
22路,内江路周家嘴路,"121.548119,31.278702"
22路,临时站,"121.545125,31.282759"
22路,内江路控江路,"121.543785,31.285873"
22路,长白路敦化路,"121.543602,31.288424"
22路,长白路图们路,"121.546806,31.289995"
23路,中山南一路西藏南路,"121.488712,31.201392"
23路,市九医院,"121.484609,31.204158"
23路,制造局路斜土路,"121.484301,31.207847"
23路,斜桥,"121.481424,31.212852"
23路,建国新路西藏南路,"121.484193,31.214939"
23路,老西门(西藏南路),"121.484171,31.216771"
23路,西藏南路淮海东路,"121.480904,31.224489"
23路,金陵中路龙门路,"121.478142,31.225988"
23路,武胜路黄陂北路,"121.470711,31.227627"
23路,威海路石门一路,"121.464828,31.227291"
23路,石门一路南京西路,"121.462524,31.228437"
23路,江宁路南京西路,"121.455627,31.229549"
23路,武定路江宁路,"121.451523,31.23424"
23路,武定路西康路,"121.448036,31.232231"
23路,武定路常德路,"121.444199,31.230581"
23路,武定路延平路,"121.441559,31.229691"
23路,武定路万春街,"121.438026,31.227892"
23路,忻康里,"121.431061,31.229145"
24路,豆市街复兴东路,"121.501984,31.221384"
24路,复兴东路光启路,"121.494423,31.222153"
24路,老西门(复兴东路),"121.486936,31.220382"
24路,复兴中路吉安路,"121.481406,31.218451"
24路,复兴中路黄陂南路,"121.477101,31.217079"
24路,复兴中路重庆南路,"121.471645,31.215503"
24路,瑞金二路复兴中路,"121.4649,31.215247"
24路,瑞金一路淮海中路,"121.463486,31.220324"
24路,瑞金一路延安中路,"121.463203,31.222331"
24路,石门一路南京西路,"121.462539,31.228385"
24路,南京西路陕西北路,"121.453572,31.227066"
24路,西康路新闸路,"121.450577,31.230183"
24路,西康路康定路,"121.447769,31.233459"
24路,西康路海防路,"121.443576,31.238212"
24路,西康路长寿路,"121.441727,31.240646"
24路,澳门路常德路,"121.436076,31.242661"
24路,长寿新村,"121.434826,31.241957"
25路,平凉路军工路,"121.557755,31.278374"
25路,平凉路定海路,"121.554539,31.277299"
25路,平凉路贵阳路,"121.550598,31.27453"
25路,平凉路隆昌路,"121.547775,31.271658"
25路,平凉路宁武路,"121.54454,31.269176"
25路,平凉路临青路,"121.54155,31.267326"
25路,平凉路宁国路,"121.538498,31.264654"
25路,平凉路眉州路,"121.533859,31.261589"
25路,平凉路兰州路,"121.530815,31.259949"
25路,平凉路怀德路,"121.525894,31.258347"
25路,平凉路通北路,"121.522339,31.255865"
25路,平凉路大连路,"121.517891,31.253288"
25路,大连路长阳路,"121.512442,31.258885"
25路,唐山路大连路,"121.50959,31.260401"
25路,唐山路安国路,"121.50798,31.25831"
25路,唐山路公平路,"121.505768,31.255131"
25路,唐山路高阳路,"121.50217,31.253563"
25路,唐山路新建路,"121.497153,31.251775"
25路,梧州路余杭路,"121.493507,31.252573"
25路,海宁路吴淞路,"121.487557,31.251386"
25路,海宁路四川北路,"121.483879,31.249144"
25路,河南北路海宁路,"121.481529,31.247026"
25路,天潼路河南北路,"121.482979,31.243919"
25路,南崇明路,"121.484444,31.245142"
26路,长乐路陕西南路,"121.459371,31.220512"
26路,淮海中路陕西南路,"121.458021,31.216388"
26路,长乐路富民路,"121.451259,31.217088"
26路,常熟路淮海中路,"121.448663,31.214709"
26路,淮海中路乌鲁木齐中路,"121.448359,31.211059"
26路,淮海中路高安路,"121.442973,31.207183"
26路,淮海中路武康路,"121.438572,31.204423"
26路,交通大学,"121.436072,31.197778"
26路,广元西路虹桥路,"121.431206,31.194098"
28路,提篮桥,"121.512144,31.252713"
28路,临潼路杨树浦路,"121.514384,31.252118"
28路,杨树浦路大连路,"121.519093,31.252005"
28路,杨树浦路许昌路,"121.525886,31.252639"
28路,杨树浦路江浦路,"121.533515,31.25336"
28路,杨树浦路眉州路,"121.537239,31.255369"
28路,杨树浦路松潘路,"121.539919,31.257557"
28路,杨树浦路临青路,"121.545693,31.263048"
28路,杨树浦路宁武路,"121.548581,31.265532"
28路,隆昌路杨树浦路,"121.550888,31.268337"
28路,隆昌路平凉路,"121.547516,31.270086"
28路,隆昌路长阳路,"121.542427,31.276154"
28路,隆昌路周家嘴路,"121.540001,31.279293"
28路,隆昌路控江路,"121.537918,31.282213"
28路,营口路靖宇东路,"121.534958,31.289831"
28路,营口路佳木斯路,"121.533302,31.295626"
28路,营口路国顺东路,"121.532028,31.299471"
28路,营口路安波路,"121.532083,31.302114"
28路,中原路翔殷路,"121.531998,31.306528"
28路,中原路民星路,"121.532028,31.313017"
28路,中原路国和路,"121.532066,31.317062"
28路,国和路包头路,"121.537361,31.318142"
28路,包头路嫩江路,"121.538597,31.315382"
33路,中山东二路新开河路,"121.495972,31.228762"
33路,中山东一路南京东路,"121.490158,31.23974"
33路,吴淞路海宁路,"121.489206,31.250777"
33路,周家嘴路新建路,"121.494484,31.253355"
33路,周家嘴路公平路,"121.500313,31.256814"
33路,周家嘴路保定路,"121.505668,31.261137"
33路,周家嘴路荆州路,"121.511884,31.263715"
33路,周家嘴路许昌路,"121.5174,31.268325"
33路,周家嘴路江浦路,"121.521912,31.271315"
33路,周家嘴路黄兴路,"121.530356,31.275304"
33路,周家嘴路双阳路,"121.537717,31.276975"
33路,周家嘴路隆昌路,"121.544184,31.279718"
33路,周家嘴路内江路,"121.54753,31.281658"
33路,周家嘴路爱国路,"121.550946,31.283811"
33路,周家嘴路军工路,"121.553689,31.285486"
33路,军工路长阳路,"121.557079,31.282817"
36路,卢浦大桥,"121.479057,31.194192"
36路,鲁班路瞿溪路,"121.47701,31.198763"
36路,鲁班路斜土路,"121.474796,31.204739"
36路,重庆南路建国中路,"121.471493,31.212157"
36路,重庆南路复兴中路,"121.470772,31.214764"
36路,成都北路延安东路,"121.467895,31.226111"
36路,成都北路南京西路,"121.466884,31.232118"
36路,新闸路石门二路,"121.461133,31.236853"
36路,新闸路江宁路,"121.455061,31.233034"
36路,江宁路康定路,"121.452292,31.23477"
36路,西康路海防路,"121.443576,31.238212"
36路,西康路长寿路,"121.441688,31.240677"
36路,长寿路常德路,"121.436333,31.239199"
36路,长寿路叶家宅路,"121.431341,31.236072"
36路,武宁新村,"121.424576,31.240252"
36路,东新路光复西路,"121.428581,31.242292"
37路,扬州路齐齐哈尔路,"121.529198,31.259209"
37路,平凉路怀德路,"121.525742,31.258273"
37路,平凉路通北路,"121.522354,31.255869"
37路,平凉路临潼路,"121.515369,31.251875"
37路,提篮桥,"121.511574,31.251089"
37路,东大名路丹徒路,"121.504362,31.25076"
37路,东大名路旅顺路,"121.497704,31.248021"
37路,大名路闵行路,"121.492615,31.246071"
37路,中山东一路北京东路,"121.490109,31.239935"
37路,天津路河南中路,"121.48381,31.238398"
37路,天津路福建中路,"121.478783,31.236736"
37路,九江路黄河路,"121.473038,31.23349"
37路,南京西路黄河路,"121.470947,31.232283"
37路,上海电视台,"121.465152,31.230846"
37路,南京西路石门一路,"121.460543,31.230577"
37路,南京西路陕西北路,"121.453581,31.227066"
37路,静安寺,"121.446714,31.223368"
37路,愚园路胶州路,"121.44569,31.225591"
40路,乌鲁木齐北路延安西路,"121.443424,31.219049"
40路,静安寺,"121.443909,31.224131"
40路,胶州路北京西路,"121.444145,31.226727"
40路,胶州路康定路,"121.441424,31.23263"
40路,胶州路余姚路,"121.440174,31.234727"
40路,长寿路叶家宅路,"121.431337,31.236059"
40路,武宁新村,"121.421176,31.240347"
40路,中山北路陆家宅,"121.422431,31.243286"
40路,和平新村,"121.425482,31.247765"
40路,石泉路岚皋路,"121.425213,31.250486"
40路,石泉路汉阴路,"121.429245,31.25247"
40路,甘泉路志丹路,"121.432248,31.262678"
40路,子长路延长西路,"121.434631,31.260942"
40路,宜川二村,"121.437396,31.26135"
40路,延长西路沪太路,"121.443012,31.264787"
40路,沪太路新村路,"121.443054,31.267099"
40路,大宁路运城路,"121.443498,31.269887"
40路,大宁路万荣路,"121.448572,31.273173"
40路,共和新路延长中路,"121.454603,31.272739"
40路,闸北公园,"121.458346,31.266684"
40路,共和新路中山北路,"121.460291,31.262153"
40路,北区汽车站(中山北路),"121.462815,31.26091"
41路,龙华,"121.451984,31.171615"
41路,龙华路华容路,"121.452799,31.177075"
41路,宛平南路龙华路,"121.4525,31.182708"
41路,中山南二路东安路,"121.454954,31.186434"
41路,中山南二路船厂路,"121.459579,31.188299"
41路,中山南二路大木桥路,"121.466497,31.192769"
41路,瑞金南路瞿溪路,"121.468503,31.199145"
41路,打浦桥,"121.467529,31.203009"
41路,瑞金医院,"121.466376,31.209679"
41路,瑞金二路复兴中路,"121.464905,31.215239"
41路,瑞金一路淮海中路,"121.463493,31.220291"
41路,石门一路延安中路,"121.463095,31.226159"
41路,石门一路南京西路,"121.462539,31.22839"
41路,石门二路山海关路,"121.460551,31.234918"
41路,恒丰路汉中路,"121.455773,31.24326"
41路,沪太路中山北路,"121.450676,31.256849"
41路,沪太路洛川中路,"121.446484,31.262648"
41路,沪太路新村路,"121.443095,31.267057"
41路,沪太新村,"121.439284,31.267626"
42路,龙门路淮海中路,"121.478554,31.225546"
42路,淮海中路嵩山路,"121.47619,31.223942"
42路,淮海中路思南路,"121.465469,31.219494"
42路,淮海中路陕西南路,"121.457649,31.216236"
42路,太原路汾阳路,"121.454097,31.209792"
42路,太原路永嘉路,"121.4552,31.205708"
42路,太原路建国西路,"121.455727,31.203785"
42路,肇嘉浜路枫林路,"121.454933,31.201258"
42路,肇嘉浜路吴兴路,"121.446312,31.198521"
42路,徐家汇,"121.437669,31.190486"
42路,南丹路漕溪北路,"121.434774,31.188989"
42路,宜山北路虹桥路,"121.433012,31.19447"
43路,南浦大桥,"121.50156,31.208332"
43路,陆家浜路海潮路,"121.498993,31.211502"
43路,陆家浜路大兴街,"121.488434,31.212166"
43路,斜桥,"121.483911,31.211628"
43路,徐家汇路黄陂南路,"121.478064,31.209779"
43路,打浦桥,"121.468898,31.205473"
43路,肇嘉浜路大木桥路,"121.460625,31.20296"
43路,肇嘉浜路枫林路,"121.455182,31.201363"
43路,肇嘉浜路东安路,"121.448628,31.199201"
43路,肇嘉浜路吴兴路,"121.446327,31.198538"
43路,肇嘉浜路天平路(徐家汇),"121.442773,31.196111"
43路,徐家汇,"121.437734,31.190701"
43路,漕溪北路裕德路,"121.436508,31.185101"
43路,漕溪路田林东路,"121.434931,31.172461"
43路,漕河泾,"121.432522,31.168342"
43路,漕宝路习勤路,"121.427109,31.167995"
43路,桂林路漕宝路,"121.418785,31.165881"
43路,上海师大,"121.41983,31.159576"
43路,桂林路桂林东街,"121.420273,31.157145"
43路,桂林路桂林西街,"121.423279,31.153212"
43路,虹漕南路江安路,"121.417374,31.148559"
44路,龙华西路龙恒路,"121.453278,31.170521"
44路,龙华,"121.452005,31.171597"
44路,龙华路华容路,"121.452782,31.17714"
44路,宛平南路龙华路,"121.452374,31.182882"
44路,龙华医院,"121.449705,31.18707"
44路,宛平南路斜土路,"121.448385,31.189462"
44路,肇嘉浜路天平路(徐家汇),"121.43987,31.194284"
44路,虹桥路恭城路,"121.435523,31.193289"
44路,虹桥路宜山路,"121.430968,31.192865"
44路,虹桥路凯旋路,"121.424896,31.194965"
44路,左家宅,"121.425525,31.198229"
44路,安顺路定西路,"121.424054,31.20072"
44路,定西路延安西路,"121.423911,31.208277"
44路,延安西路番禺路,"121.427865,31.210156"
44路,东诸安浜路江苏路,"121.432591,31.218112"
44路,江苏路愚园路,"121.430421,31.221224"
44路,江苏北路长宁路,"121.425929,31.22546"
44路,曹杨路谈家渡路,"121.42181,31.233064"
44路,曹杨路白玉路,"121.41967,31.236597"
44路,中山北路曹杨路,"121.414696,31.238038"
44路,曹杨五村,"121.410126,31.235756"
44路,兰溪路梅岭北路,"121.409041,31.238003"
44路,枣阳路杏山路,"121.405742,31.237908"
44路,杨柳青路枣阳路,"121.403963,31.233724"
44路,大渡河路金沙江路,"121.396259,31.22964"
44路,中江路云岭东路,"121.392665,31.226198"
44路,云岭东路泸定路,"121.389058,31.222804"
44路,光复西路丹巴路,"121.381884,31.220829"
45路,南浦大桥,"121.501593,31.207782"
45路,南车站路中山南路,"121.494813,31.203859"
45路,中山南路西藏南路,"121.490955,31.202322"
45路,中山南一路鲁班路,"121.47918,31.198138"
45路,中山南一路打浦路,"121.475548,31.196918"
45路,大木桥路中山南二路,"121.464211,31.193388"
45路,大木桥路斜土路,"121.462051,31.197714"
45路,肇嘉浜路大木桥路,"121.460419,31.202921"
45路,襄阳南路建国西路,"121.458275,31.203747"
45路,襄阳南路永嘉路,"121.457939,31.208347"
45路,襄阳公园,"121.45697,31.214535"
45路,淮海中路常熟路,"121.451615,31.213676"
45路,华山路延安中路,"121.446274,31.219027"
45路,静安寺,"121.442215,31.225004"
45路,武宁南路万航渡路,"121.437752,31.226021"
45路,曹家渡,"121.431072,31.227548"
46路,人民广场,"121.474718,31.227274"
46路,西藏中路北京东路,"121.473181,31.238633"
46路,西藏北路海宁路,"121.471506,31.242977"
46路,中兴路共和新路,"121.465564,31.25247"
46路,共和新路中华新路,"121.463845,31.254887"
46路,共和新路柳营路,"121.459869,31.264076"
46路,共和新路洛川东路,"121.456992,31.269792"
46路,共和新路广中路,"121.452409,31.277917"
46路,共和新路彭江路,"121.451775,31.284588"
46路,共和新路汶水路,"121.450269,31.293602"
46路,共和新路江场路,"121.449462,31.297483"
46路,共和新路闻喜路,"121.448884,31.306396"
46路,临汾路共和新路,"121.450404,31.310734"
46路,岭南路临汾路,"121.455238,31.312262"
46路,岭南路保德路,"121.45578,31.316019"
47路,骊山路华阴路,"121.44455,31.259121"
47路,中山北路普善路,"121.455826,31.259293"
47路,中山北路共和新路,"121.459457,31.260069"
47路,中山北路西宝兴路,"121.46778,31.263205"
47路,东宝兴路芷江中路,"121.474052,31.263489"
47路,东宝兴路中兴路,"121.477808,31.26069"
47路,宝山路同心路,"121.479839,31.264727"
47路,四川北路山阴路,"121.482765,31.264782"
47路,溧阳路四平路,"121.488579,31.261415"
47路,临平北路四平路,"121.493599,31.263142"
47路,临平路张家巷,"121.497177,31.261675"
47路,公平路周家嘴路,"121.50079,31.258859"
47路,保定路周家嘴路,"121.506927,31.261385"
47路,保定路长阳路,"121.511307,31.257013"
47路,惠民路保定路,"121.514114,31.254526"
48路,西区汽车站,"121.423225,31.188819"
48路,中山西路吴中路,"121.420898,31.189952"
48路,中山西路虹桥路,"121.416845,31.195438"
48路,安顺路长顺路,"121.415473,31.200556"
48路,安顺路凯旋路,"121.421332,31.201667"
48路,香花桥,"121.424843,31.203737"
48路,新华路番禺路,"121.429405,31.202131"
48路,华山路淮海西路,"121.434235,31.204098"
48路,华山路湖南路,"121.433403,31.206493"
48路,华山路复兴西路,"121.436146,31.211211"
48路,华山路长乐路,"121.439562,31.215038"
48路,华山路乌鲁木齐中路,"121.442622,31.217018"
48路,乌鲁木齐北路延安西路,"121.443424,31.219041"
48路,延安西路华山路,"121.444566,31.220516"
49路,上海体育馆,"121.43687,31.179139"
49路,中山南二路天钥桥路,"121.443024,31.179119"
49路,中山南二路东安路,"121.454869,31.186414"
49路,东安路中山南二路,"121.456179,31.187797"
49路,肿瘤医院,"121.453485,31.192819"
49路,枫林路斜土路,"121.455547,31.196409"
49路,中山医院,"121.454102,31.199201"
49路,岳阳路建国西路,"121.452957,31.202614"
49路,桃江路衡山路,"121.451286,31.209066"
49路,宝庆路淮海中路,"121.449905,31.211452"
49路,常熟路长乐路,"121.448598,31.215161"
49路,延安中路铜仁路,"121.450582,31.222031"
49路,威海路陕西北路,"121.457969,31.226189"
49路,威海路石门一路,"121.462383,31.226936"
49路,武胜路黄陂北路,"121.47083,31.227626"
49路,人民广场(福州路),"121.475734,31.232652"
49路,九江路浙江中路,"121.478173,31.234414"
49路,汉口路江西中路,"121.48678,31.23622"
50路,业祥路老沪闵路,"121.43599,31.12526"
